State,Very good,Good,Fair,Poor,No answer,Dont know
AL,0,0,0,0,0,0
AZ,0,0,0,0,0,0
AR,15.6,50.5,27.6,6.3,0,0
BD,0,0,0,0,0,0
BG,0,0,0,0,0,0
BY,0,0,0,0,0,0
CL,0,0,0,0,0,0
CN,0,0,0,0,0,0
CO,0,0,0,0,0,0
CZ,0,0,0,0,0,0
SV,0,0,0,0,0,0
EE,0,0,0,0,0,0
FI,0,0,0,0,0,0
GER,0,0,0,0,0,0
IN,0,0,0,0,0,0
JP,28.5,46.4,19.9,4.8,0.3,0.1
KR,19,53.7,23.8,3.4,0.1,0
LV,23.6,45.1,24.7,6.1,0.5,0
MX,26.1,49.9,22.2,1.7,0,0.1
MD,12.4,36.3,41.2,9.9,0,0.2
NZ,26.5,45.3,20.6,7.3,0,0.2
NG,13.3,37.9,37.5,9.6,0,1.7
NO,14.9,65.2,17.6,0.9,1.4,0
PE,26.1,46.6,25,2.2,0,0
PH,35.2,45.2,15.3,2.7,1.4,0.1
PL,55,35.8,7.3,1.8,0,0
RO,13.2,41.1,41.8,3.6,0.1,0.2
RU,17.7,38.8,38.3,5.1,0,0
SK,20.9,40.4,28.5,10.3,0,0
SI,15.4,49.7,25.9,8.9,0.1,0
ZA,5.1,39,44.5,10.6,0.1,0.4
ESP,22.3,42.8,22.9,12,0,0
SE,41.8,42,11.9,4.3,0,0
SZ,20.3,53.9,20.6,5,0.1,0.1
TR,30.8,44.8,21,3.3,0.1,0.1
UA,18.8,47.6,25.5,5.6,1.5,1
MKD,6,31.2,45.5,16.6,0.1,0.6
USA,27.8,52.1,16.1,3.3,0.7,0
