State,Very important,Rather important,Not very important,Not at all important,NA,DK
AL,24.2,34.5,28.2,10.7,0,2.3
AZ,29.5,52.5,13.2,3.3,0,1.4
AR,34.9,31.1,21.3,11.8,0,0.9
BD,82.2,16.1,1,0.5,0,0.2
BG,14.8,25.7,30.6,24.3,0,4.5
BY,41.8,31.3,19,5.6,0,2.2
CL,3.9,10.3,30.8,44,0,11.1
CN,49,38.7,10.5,1.5,0,0.3
CO,9,14,27.6,46.4,3.1,0
CZ,86.5,8.2,2.6,2.2,0,0.5
SV,7.9,19.4,37.5,32.7,0,2.4
EE,13.3,31.5,37.1,17.3,0,0.8
FI,10.8,16.2,30.2,41.7,0,1.1
GER,48.2,29.5,13.9,7,0,1.4
IN,6.4,14.9,38.3,31.7,0,8.7
JP,19.8,30.8,32.6,15.7,0.2,1
KR,12.2,23.5,32.8,27.1,0,4.3
LV,45.4,33.2,17.1,3,0,1.3
MX,30.5,36,22.8,10,0,0.8
MD,19,19.2,26.4,30.2,3.8,1.3
NZ,91.5,6.7,1.3,0.2,0,0.3
NG,12.1,26.1,41.1,20.7,0,0.1
NO,53.3,28.4,12.9,2.2,0,3.2
PE,78.3,19.5,1.8,0.2,0,0.2
PH,46.4,36.3,13,3.2,0,1
PL,37.5,37.6,17.8,4.8,0,2.2
RO,14,25.9,34.8,22.5,0,2.8
RU,23.7,30.5,24.2,19.3,0,2.4
SK,16.3,26.7,34.2,21.8,0,1
SI,67.8,22.1,7,2.5,0,0.5
ZA,25.2,32.5,27.8,13.9,0,0.7
ESP,9.5,19.7,42.6,27.2,0,1
SE,14.3,26.4,32.3,24.6,0,2.4
SZ,83.3,10.2,4.1,2.4,0,0
TR,19.1,29.7,24.4,18,0,8.7
UA,33.8,29.2,20.6,12.3,0,4.1
MKD,55.9,26.2,12.4,5.2,0,0.4
USA,55.2,30.5,8.1,5.5,0,0.8
